idx,university,subject,local_path,gs_path
1,osu,ASL,osu/View_Syllabi_9c02deb9.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_9c02deb9.pdf
2,osu,EHE,osu/View_Syllabi_0aca0bce.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0aca0bce.pdf
3,osu,MOLGEN,osu/View_Syllabi_5280bb2a.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_5280bb2a.pdf
4,osu,MEDDIET,osu/View_Syllabi_60b45aae.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_60b45aae.pdf
5,osu,ENGR,osu/View_Syllabi_82487060.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_82487060.pdf
6,osu,SOCWORK,osu/View_Syllabi_05bb2ad4.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_05bb2ad4.pdf
7,osu,ENGREDU,osu/View_Syllabi_8056d39c.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_8056d39c.pdf
8,osu,MDRNGRK,osu/View_Syllabi_a2c76991.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_a2c76991.pdf
9,osu,KNSISM,osu/View_Syllabi_0d10afd3.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0d10afd3.pdf
10,osu,GEOSCIM,osu/View_Syllabi_63b6d8cc.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_63b6d8cc.pdf
11,osu,FILMSTD,osu/View_Syllabi_dafee0ae.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_dafee0ae.pdf
12,osu,NAVALSC,osu/View_Syllabi_042ed356.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_042ed356.pdf
13,osu,BIOCHEM,osu/View_Syllabi_9b5f61ea.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_9b5f61ea.pdf
14,osu,HW,osu/View_Syllabi_942654d5.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_942654d5.pdf
15,osu,ARCH,osu/View_Syllabi_665f29c5.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_665f29c5.pdf
16,osu,ESWDE,osu/View_Syllabi_0ad7b7be.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0ad7b7be.pdf
17,osu,ISE,osu/View_Syllabi_fdece893.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_fdece893.pdf
18,osu,BIOMSCI,osu/View_Syllabi_66d790ab.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_66d790ab.pdf
19,osu,PUBHEPI,osu/View_Syllabi_e85822f2.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_e85822f2.pdf
20,osu,ACCTMIS,osu/View_Syllabi_fe4f9907.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_fe4f9907.pdf
21,osu,CSFRST,osu/View_Syllabi_f373640d.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_f373640d.pdf
22,osu,HISTORY,osu/View_Syllabi_d5d596f1.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_d5d596f1.pdf
23,osu,GENED,osu/View_Syllabi_491c0e19.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_491c0e19.pdf
24,osu,HWIH,osu/View_Syllabi_eb1e5e2e.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_eb1e5e2e.pdf
25,osu,PUBHEHS,osu/View_Syllabi_2604bd77.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_2604bd77.pdf
26,osu,HIMS,osu/View_Syllabi_36f19121.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_36f19121.pdf
27,osu,DANCE,osu/View_Syllabi_d8247951.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_d8247951.pdf
28,osu,ENR,osu/View_Syllabi_ae009874.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_ae009874.pdf
29,osu,ARTEDUC,osu/View_Syllabi_33b7139a.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_33b7139a.pdf
30,osu,DNE,osu/View_Syllabi_a465720f.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_a465720f.pdf
31,osu,MEDMCIM,osu/View_Syllabi_0996c6ea.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0996c6ea.pdf
32,osu,AGSYSMT,osu/View_Syllabi_fd033ad5.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_fd033ad5.pdf
33,osu,CSHSPMG,osu/View_Syllabi_87dbc71b.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_87dbc71b.pdf
34,osu,SURGERY,osu/View_Syllabi_eb20fb88.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_eb20fb88.pdf
35,ufl,VTN,ufl/VTN1130_F24_bb1290b2.pdf,gs://syllabus-480300-syllabi/ufl/VTN1130_F24_bb1290b2.pdf
36,ufl,PROB,ufl/Bhattacharya_sta_7467_syllabus_933ad163.pdf,gs://syllabus-480300-syllabi/ufl/Bhattacharya_sta_7467_syllabus_933ad163.pdf
37,ufl,READ,ufl/Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf,gs://syllabus-480300-syllabi/ufl/Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf
38,ufl,NATU,ufl/Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,gs://syllabus-480300-syllabi/ufl/Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf
39,ufl,ARGU,ufl/Arguing-Jewish-Law_ff93087f.pdf,gs://syllabus-480300-syllabi/ufl/Arguing-Jewish-Law_ff93087f.pdf
40,ufl,GEY,ufl/GEY4001_2G10_Spring2026_d90d157e.pdf,gs://syllabus-480300-syllabi/ufl/GEY4001_2G10_Spring2026_d90d157e.pdf
41,ufl,NEW,ufl/Syllabus_New-Testament.docx_ca74e1c7.pdf,gs://syllabus-480300-syllabi/ufl/Syllabus_New-Testament.docx_ca74e1c7.pdf
