file,match_type,gt_title,pred_title,pred_author
osu_View_Syllabi_042ed356.pdf,TP,Leadership: Enhancing the Lessons of Experience,Leadership: Enhancing the Lessons of Experience,Richard Hughes
osu_View_Syllabi_042ed356.pdf,TP,Saltwater Leadership,Saltwater Leadership,Robert Wray
osu_View_Syllabi_042ed356.pdf,TP,The Passion of Command,The Passion of Command,B. McCoy
osu_View_Syllabi_042ed356.pdf,TP,The Armed Forces Officer,The Armed Forces Officer,U.S. Department of Defense
osu_View_Syllabi_05bb2ad4.pdf,TP,Promoting community change: making it happen in the real world,Promoting community change: making it happen in the real world,M.S. Homan
osu_View_Syllabi_0996c6ea.pdf,TP,Janeway's Immunobiology textbook,Janeway's Immunobiology,Janeway
osu_View_Syllabi_0996c6ea.pdf,TP,Cellular and Molecular Immunology,Cellular and Molecular Immunology,Abbas
osu_View_Syllabi_0ad7b7be.pdf,TP,Handbook for Teaching Online,Handbook for Teaching Online,D. S. Stein
osu_View_Syllabi_0ad7b7be.pdf,TP,The online teaching survival guide,The online teaching survival guide,J. Boettcher
osu_View_Syllabi_0ad7b7be.pdf,TP,Successful online learning,Successful online learning,T.A. Brosche
osu_View_Syllabi_0ad7b7be.pdf,TP,Fluency in distance learning,Fluency in distance learning,C. Fenton
osu_View_Syllabi_0ad7b7be.pdf,TP,Effective online teaching,Effective online teaching,T. Stavredes
osu_View_Syllabi_0d10afd3.pdf,TP,The Manly Art,The Manly Art,Elliott Gorn
osu_View_Syllabi_0d10afd3.pdf,TP,Reading Football,Reading Football,Michael Oriard
osu_View_Syllabi_0d10afd3.pdf,TP,Democracy in America,Democracy in America,Alexis De Tocqueville
osu_View_Syllabi_0d10afd3.pdf,TP,A Treatise on Domestic Economy,A Treatise on Domestic Economy,Catherine Beecher
osu_View_Syllabi_0d10afd3.pdf,TP,A Treatise on Gymnastics,A Treatise on Gymnastics,F.L. Jahn
osu_View_Syllabi_0d10afd3.pdf,TP,A Primer of College Football,American Football,Walter Camp
osu_View_Syllabi_0d10afd3.pdf,TP,Football,Football,A.A. Stagg
osu_View_Syllabi_0d10afd3.pdf,TP,How to Play Base Ball,Base Ball: How To Become a Player,John Montgomery Ward
osu_View_Syllabi_0d10afd3.pdf,TP,Base Ball: How to Become a Player,How To Play Base Ball,Henry Chadwick
osu_View_Syllabi_0d10afd3.pdf,TP,America's National Game,America's National Game,Albert Spalding
osu_View_Syllabi_0d10afd3.pdf,TP,American Football,A Primer of College Football,W.H. Lewis
osu_View_Syllabi_0d10afd3.pdf,FN,Rules for Basketball,,
osu_View_Syllabi_2604bd77.pdf,TP,Harrison's Principles of Internal Medicine,Harrison's Principles of Internal Medicine,Harrison's
osu_View_Syllabi_2604bd77.pdf,FP,,Hurst's The Heart,Hurst's
osu_View_Syllabi_33b7139a.pdf,TP,"The Good Guide: A Sourcebook for Interpreters, Docents and Tour Guides","The Good Guide: A Sourcebook for Interpreters, Docents and Tour Guides",Alison L. Grinder
osu_View_Syllabi_33b7139a.pdf,TP,The Intelligent Eye,The Intelligent Eye,David Perkins
osu_View_Syllabi_5280bb2a.pdf,TP,Concepts of Genetics,Concepts of Genetics,Klug
osu_View_Syllabi_60b45aae.pdf,TP,Academy of Nutrition and Dietetics Pocket Guide to Nutrition Assessment,Academy of Nutrition and Dietetics Pocket Guide to Nutrition Assessment,Charney
osu_View_Syllabi_60b45aae.pdf,TP,Nutrition Therapy and Pathophysiology,Nutrition Therapy and Pathophysiology,Nelms Sucher
osu_View_Syllabi_63b6d8cc.pdf,TP,Spectral Methods: Fundamentals in Single Domains,Spectral Methods: Fundamentals in Single Domains,Canuto Quarteroni
osu_View_Syllabi_665f29c5.pdf,TP,Autodesk Revit 2022: Fundamentals for Architecture,Autodesk Revit 2022: Fundamentals for Architecture,
