file,gt_count,pred_count,tp,fp,fn,precision,recall,f1,unmatched_gt,unmatched_pred
osu_View_Syllabi_042ed356.pdf,4,4,4,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_05bb2ad4.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_0996c6ea.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_0ad7b7be.pdf,5,5,5,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_0d10afd3.pdf,12,11,11,0,1,1.0,0.9167,0.9565,Rules for Basketball,
osu_View_Syllabi_2604bd77.pdf,1,2,1,1,0,0.5,1.0,0.6667,,Hurst's The Heart
osu_View_Syllabi_33b7139a.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_5280bb2a.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_60b45aae.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_63b6d8cc.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_665f29c5.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_8056d39c.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_82487060.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_87dbc71b.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_942654d5.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_9b5f61ea.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_a2c76991.pdf,6,5,5,0,1,1.0,0.8333,0.9091,The Anaphiotika and constitution square,
osu_View_Syllabi_a465720f.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_ae009874.pdf,5,5,5,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_d5d596f1.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_dafee0ae.pdf,3,3,3,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_e85822f2.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_eb20fb88.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_f373640d.pdf,2,2,2,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_fd033ad5.pdf,3,3,3,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_fdece893.pdf,14,14,14,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_fe4f9907.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,5,6,5,1,0,0.8333,1.0,0.9091,,Gentlemen's Agreement
ufl_Arguing-Jewish-Law_ff93087f.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_Bhattacharya_sta_7467_syllabus_933ad163.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_CWR3201-Syllabus-Fall-2025_1a7780ea.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf,3,1,1,0,2,1.0,0.3333,0.5,Restatement Second of Contracts; Uniform Commercial Code,
